티커,구성종목명,계약수,평가금액,구성금액,비중
0043Y0,TIME 차이나AI테크액티브,1100.0,24997500,26598000,0.0
0B4BNM,ACCENTURE PLC-CL A,93.0,0,0,0.0
079031,ADVANCED MICRO DEVICES,120.0,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,1187.0,0,0,0.0
2079K1,ALPHABET INC-CL C,45.0,0,0,0.0
231351,AMAZON.COM INC,91.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,96.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,14.0,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,106.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,55.0,0,0,0.0
4703L2,DELL TECHNOLOGIES -C,33.0,0,0,0.0
786421,EBAY INC,109.0,0,0,0.0
581401,INTEL CORP,545.0,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,87.0,0,0,0.0
236330,KIOXIA HOLDINGS CORP,144.0,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,108.0,0,0,0.0
8733R1,MERCADOLIBRE INC,10.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,26.0,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,222.0,0,0,0.0
NQM6,NASDAQ 100 E-MINI INDEX JUN 2026,0.06,53736632,0,0.0
4110D1,NETAPP INC,161.0,0,0,0.0
7066G1,NVIDIA CORP,151.0,0,0,0.0
223041,PDD HOLDINGS INC,170.0,0,0,0.0
475251,QUALCOMM INC,135.0,0,0,0.0
766961,ROPER TECHNOLOGIES INC,49.0,0,0,0.0
9466L3,SALESFORCE INC,96.0,0,0,0.0
0004C2,SANDISK CORP,17.0,0,0,0.0
030542,SAP SE-SPONSORED ADR,66.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,58.0,0,0,0.0
1762P1,SERVICENOW INC,177.0,0,0,0.0
334451,SNOWFLAKE INC,148.0,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,44.0,0,0,0.0
949724,STRATEGY INC,114.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,42.0,0,0,0.0
875721,TENCENT HOLDINGS LTD,116.0,0,0,0.0
581021,WESTERN DIGITAL CORP,77.0,0,0,0.0
010010,원화현금,0.0,0,25058526,0.0
H00000,설정현금액,0.0,0,1328434624,0.0
