티커,구성종목명,계약수,금액,시가총액,비중
009150,삼성전기,25.0,37575000,38950000,0.0
0043Y0,TIME 차이나AI테크액티브,1570.0,34061150,33904150,0.0
0B4BNM,ACCENTURE PLC-CL A,71.0,0,0,0.0
079031,ADVANCED MICRO DEVICES,69.0,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,238.0,0,0,0.0
2079K1,ALPHABET INC-CL C,90.0,0,0,0.0
231351,AMAZON.COM INC,137.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,148.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,54.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,10.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,56.0,0,0,0.0
4703L2,DELL TECHNOLOGIES -C,17.0,0,0,0.0
786421,EBAY INC,64.0,0,0,0.0
100002,EOPTOLINK TECHNOLOGY INC L-A,132.0,0,0,0.0
811000,FUJIKURA LTD,252.0,0,0,0.0
581401,INTEL CORP,327.0,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,71.0,0,0,0.0
236330,KIOXIA HOLDINGS CORP,151.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,20.0,0,0,0.0
8733R1,MERCADOLIBRE INC,8.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,26.0,0,0,0.0
6181S1,MINIMAX GROUP INC,288.0,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,459.0,0,0,0.0
7066G1,NVIDIA CORP,115.0,0,0,0.0
223041,PDD HOLDINGS INC,129.0,0,0,0.0
475251,QUALCOMM INC,61.0,0,0,0.0
766961,ROPER TECHNOLOGIES INC,28.0,0,0,0.0
9466L3,SALESFORCE INC,77.0,0,0,0.0
0004C2,SANDISK CORP,29.0,0,0,0.0
030542,SAP SE-SPONSORED ADR,46.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,39.0,0,0,0.0
1762P1,SERVICENOW INC,109.0,0,0,0.0
8392B2,SK HYNIX INC-ADR,204.0,0,0,0.0
334451,SNOWFLAKE INC,76.0,0,0,0.0
949724,STRATEGY INC,116.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,23.0,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,71.0,0,0,0.0
581021,WESTERN DIGITAL CORP,66.0,0,0,0.0
100007,Z AI CO LTD,118.0,0,0,0.0
100001,ZHONGJI INNOLIGHT CO LTD-A,60.0,0,0,0.0
010010,원화현금,0.0,0,72169976,0.0
H00000,설정현금액,0.0,0,1193073139,0.0
