티커,구성종목명,계약수,금액,시가총액,비중
079031,ADVANCED MICRO DEVICES,84.76,0,0,0.0
2079K3,ALPHABET INC-CL A,23.71,0,0,0.0
231351,AMAZON.COM INC,35.23,0,0,0.0
326541,ANALOG DEVICES INC,25.44,0,0,0.0
382221,APPLIED MATERIALS INC,6.4,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,27.47,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,2.77,0,0,0.0
937121,BLOOM ENERGY CORP- A,9.47,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,6.47,0,0,0.0
6828A1,GE VERNOVA INC,2.44,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,257.29,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,113.49,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,59.57,0,0,0.0
581401,INTEL CORP,79.97,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,24.34,0,0,0.0
236330,KIOXIA HOLDINGS CORP,26.53,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,13.05,0,0,0.0
128073,LAM RESEARCH CORP,10.83,0,0,0.0
738741,MARVELL TECHNOLOGY INC,15.22,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,3.63,0,0,0.0
951121,MICRON TECHNOLOGY INC,3.81,0,0,0.0
949181,MICROSOFT CORP,9.61,0,0,0.0
0937P1,MONGODB INC,10.23,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,217.51,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,45.67,0,0,0.0
4110D1,NETAPP INC,30.92,0,0,0.0
833441,ONTO INNOVATION INC,8.4,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,29.31,0,0,0.0
974351,PALO ALTO NETWORKS INC,7.65,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,32.39,0,0,0.0
0004C2,SANDISK CORP,4.99,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,9.97,0,0,0.0
8392B2,SK HYNIX INC-ADR,29.55,0,0,0.0
334451,SNOWFLAKE INC,9.21,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,8.81,0,0,0.0
100000,SUZHOU DONGSHAN PRECISION-A,70.82,0,0,0.0
807701,TERADYNE INC,3.33,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.54,0,0,0.0
581021,WESTERN DIGITAL CORP,15.58,0,0,0.0
010010,원화현금,0.0,0,7096193,0.0
H00000,설정현금액,0.0,0,357866902,0.0
