티커,구성종목명,계약수,평가금액,구성금액,비중
079031,ADVANCED MICRO DEVICES,60.62,0,0,0.0
122400,ADVANTEST CORP,140.92,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,21.21,0,0,0.0
420682,ARM Holdings PLC,37.15,0,0,0.0
494681,ATLASSIAN CORP PLC-CLASS A,66.37,0,0,0.0
0971T1,Akamai Technologies Inc,84.21,0,0,0.0
3823U1,Applied Optoelectronics Inc,201.47,0,0,0.0
4626A1,Astera Labs Inc,44.67,0,0,0.0
937121,BLOOM ENERGY CORPORATION,137.26,0,0,0.0
9247G1,COHERENT CORP,53.76,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,19.46,0,0,0.0
8915M1,Cloudflare Inc,82.99,0,0,0.0
1873S1,Coreweave Inc,179.66,0,0,0.0
3804L1,DATADOG INC - CLASS A,81.51,0,0,0.0
681501,DYNATRACE INC,207.14,0,0,0.0
4703L2,Dell Technologies Inc,54.52,0,0,0.0
4959E1,FORTINET INC,60.18,0,0,0.0
827200,Furukawa Electric Co Ltd,520.72,0,0,0.0
7637K1,Gitlab Inc,49.86,0,0,0.0
148800,IBIDEN,59.44,0,0,0.0
581401,INTEL Corp,223.58,0,0,0.0
0162L0,KODEX 차이나AI반도체TOP10,2021.0,25676805,0,0.0
236330,Kioxia Holdings Corp,89.17,0,0,0.0
128073,LAM RESEARCH,57.67,0,0,0.0
5024U1,Lumentum Holdings Inc,34.79,0,0,0.0
738741,MARVELL TECHNOLOGY INC,35.96,0,0,0.0
951121,MICRON TECH,8.4,0,0,0.0
0937P1,MONGODB INC,132.91,0,0,0.0
914400,MURATA MFG CO,81.67,0,0,0.0
4110D1,NETAPP INC,136.94,0,0,0.0
7066G1,NVIDIA Corp,44.24,0,0,0.0
792951,OKTA INC,68.76,0,0,0.0
974351,PALO ALTO NETWORKS INC,6.47,0,0,0.0
9608A1,Palantir Technologies Inc -A,539.78,0,0,0.0
327260,RF머트리얼즈,277.0,12381900,0,0.0
707001,Robinhood Markets Inc,179.38,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY,4.06,0,0,0.0
000660,SK하이닉스,14.0,23758000,0,0.0
0004C2,Sandisk Corp/DE,23.09,0,0,0.0
334451,Snowflake Inc   - CL A,279.53,0,0,0.0
807701,TERADYNE INC,22.17,0,0,0.0
8160R1,TESLA MOTORS,51.12,0,0,0.0
8023B1,Tempus AI Inc,181.3,0,0,0.0
009805,YANDEX NV-A,75.78,0,0,0.0
010170,대한광통신,1951.0,28269990,0,0.0
108490,로보티즈,107.0,34721500,0,0.0
009150,삼성전기,6.0,8022000,0,0.0
005930,삼성전자,85.0,21165000,0,0.0
058610,에스피지,210.0,19047000,0,0.0
007660,이수페타시스,262.0,28138800,0,0.0
095610,테스,131.0,17292000,0,0.0
356860,티엘비,90.0,3294000,0,0.0
010010,원화현금,0.0,0,34861653,0.0
H00000,설정현금액,0.0,0,1389451503,0.0
