티커,구성종목명,계약수,금액,시가총액,비중
079031,ADVANCED MICRO DEVICES,160.29,0,0,0.0
122400,ADVANTEST CORP,88.4,0,0,0.0
382221,APPLIED MATERIALS INC,28.05,0,0,0.0
420682,ARM Holdings PLC,113.72,0,0,0.0
070592,ASML HOLDING,11.68,0,0,0.0
3823U1,Applied Optoelectronics Inc,207.32,0,0,0.0
4626A1,Astera Labs Inc,46.88,0,0,0.0
937121,BLOOM ENERGY CORPORATION,140.09,0,0,0.0
9247G1,COHERENT CORP,23.08,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,23.29,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,71.3,0,0,0.0
1873S1,Coreweave Inc,65.1,0,0,0.0
3804L1,DATADOG INC - CLASS A,201.9,0,0,0.0
4703L2,Dell Technologies Inc,23.47,0,0,0.0
6828A1,GE Vernova LLC,1.79,0,0,0.0
581401,INTEL Corp,751.19,0,0,0.0
236330,Kioxia Holdings Corp,150.38,0,0,0.0
128073,LAM RESEARCH,90.14,0,0,0.0
5024U1,Lumentum Holdings Inc,35.38,0,0,0.0
738741,MARVELL TECHNOLOGY INC,35.18,0,0,0.0
951121,MICRON TECH,36.96,0,0,0.0
0937P1,MONGODB INC,135.2,0,0,0.0
4110D1,NETAPP INC,158.9,0,0,0.0
974351,PALO ALTO NETWORKS INC,21.98,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY,70.01,0,0,0.0
8392B2,SK hynix Inc,136.92,0,0,0.0
000660,SK하이닉스,26.0,54132000,0,0.0
0004C2,Sandisk Corp/DE,32.58,0,0,0.0
334451,Snowflake Inc   - CL A,303.13,0,0,0.0
4615Q1,Space Exploration Technologies Corp,49.72,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,8.42,0,0,0.0
807701,TERADYNE INC,21.69,0,0,0.0
8160R1,TESLA MOTORS,38.61,0,0,0.0
581021,WESTERN DIGITAL,106.9,0,0,0.0
009805,YANDEX NV-A,26.79,0,0,0.0
009150,삼성전기,19.0,26847000,0,0.0
005930,삼성전자,188.0,52546000,0,0.0
095610,테스,100.0,21400000,0,0.0
356860,티엘비,88.0,3872000,0,0.0
010010,원화현금,0.0,0,11040017,0.0
H00000,설정현금액,0.0,0,1666436874,0.0
